Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,AST,ORB,DRB,TRB,PTS,Salary,PTS_per_game,FT_per_game
Alex Abrines,25,SG,OKC,31,588,56,157,0.357,41,127,0.323,15,30,0.5,12,13,0.923,20,5,43,48,165,3667645,5.323,0.387
Allen Crabbe,26,SG,BRK,43,1133,137,373,0.367,98,259,0.378,39,114,0.342,41,56,0.732,46,16,132,148,413,19332500,9.605,0.953
Allonzo Trier,23,SG,NYK,64,1459,232,518,0.448,52,132,0.394,180,386,0.466,179,223,0.803,119,31,166,197,695,3382000,10.859,2.797
Anfernee Simons,19,SG,POR,20,141,28,63,0.444,10,29,0.345,18,34,0.529,9,16,0.562,13,3,10,13,75,1837800,3.75,0.45
Antonio Blakeney,22,SG,CHI,57,829,166,396,0.419,36,91,0.396,130,305,0.426,50,76,0.658,42,7,99,106,418,1349383,7.333,0.877
Ben McLemore,25,SG,SAC,19,158,25,64,0.391,17,41,0.415,8,23,0.348,8,12,0.667,4,3,14,17,75,5460000,3.947,0.421
Billy Garrett,24,SG,NYK,4,63,11,27,0.407,0,8,0,11,19,0.579,4,4,1,7,0,3,3,26,67370,6.5,1
Bogdan Bogdanovic,26,SG,SAC,70,1947,361,863,0.418,134,372,0.36,227,491,0.462,134,162,0.827,267,40,203,243,990,9000000,14.143,1.914
Bradley Beal,25,SG,WAS,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,362,448,0.808,448,89,322,411,2099,25434262,25.598,4.415
Brandon Sampson,21,SG,CHI,14,214,28,60,0.467,11,29,0.379,17,31,0.548,4,6,0.667,10,3,13,16,71,77250,5.071,0.286
Bruce Brown,22,SG,DET,74,1449,125,314,0.398,24,93,0.258,101,221,0.457,45,60,0.75,91,48,137,185,319,838464,4.311,0.608
Bryn Forbes,25,SG,SAS,82,2293,361,791,0.456,176,413,0.426,185,378,0.489,69,78,0.885,175,18,221,239,967,3125000,11.793,0.841
Buddy Hield,26,SG,SAC,82,2615,623,1360,0.458,278,651,0.427,345,709,0.487,171,193,0.886,205,106,306,412,1695,3833760,20.671,2.085
CJ McCollum,27,SG,POR,70,2375,571,1243,0.459,167,445,0.375,404,798,0.506,159,192,0.828,207,62,220,282,1468,25759766,20.971,2.271
CJ Williams,28,SG,MIN,15,128,17,35,0.486,5,16,0.312,12,19,0.632,0,1,0,12,1,7,8,39,77250,2.6,0
Damion Lee,26,SG,GSW,32,375,56,127,0.441,27,68,0.397,29,59,0.492,19,22,0.864,13,8,56,64,158,77250,4.938,0.594
Damyean Dotson,24,SG,NYK,73,2004,290,698,0.415,126,342,0.368,164,356,0.461,73,98,0.745,135,34,228,262,779,1378242,10.671,1
Daniel Hamilton,23,SG,ATL,19,204,23,60,0.383,8,23,0.348,15,37,0.405,3,6,0.5,22,10,37,47,57,1349383,3,0.158
Danny Green,31,SG,TOR,80,2216,293,630,0.465,198,435,0.455,95,195,0.487,37,44,0.841,126,60,257,317,821,10000000,10.262,0.462
Daryl Macon,23,SG,DAL,8,90,10,27,0.37,5,11,0.455,5,16,0.312,4,7,0.571,7,2,10,12,29,77250,3.625,0.5
David Nwaba,26,SG,CLE,51,984,126,262,0.481,24,75,0.32,102,187,0.545,58,85,0.682,54,41,122,163,334,1512601,6.549,1.137
DeMar DeRozan,29,SG,SAS,77,2688,631,1313,0.481,7,45,0.156,624,1268,0.492,366,441,0.83,475,54,408,462,1635,27739975,21.234,4.753
Deonte Burton,25,SG,OKC,32,240,33,82,0.402,8,27,0.296,25,55,0.455,8,12,0.667,9,4,24,28,82,500000,2.562,0.25
DeVaughn Akoon-Purcell,25,SG,DEN,7,22,3,10,0.3,0,4,0,3,6,0.5,1,2,0.5,6,1,3,4,7,77250,1,0.143
Devin Booker,22,SG,PHO,64,2242,586,1255,0.467,135,414,0.326,451,841,0.536,393,454,0.866,433,39,226,265,1700,3314365,26.562,6.141
Dion Waiters,27,SG,MIA,44,1138,198,478,0.414,109,289,0.377,89,189,0.471,22,44,0.5,121,7,109,116,527,12705000,11.977,0.5
Donovan Mitchell,22,SG,UTA,77,2598,661,1530,0.432,188,519,0.362,473,1011,0.468,319,396,0.806,322,59,257,316,1829,3111480,23.753,4.143
Donte DiVincenzo,22,SG,MIL,27,411,50,124,0.403,22,83,0.265,28,41,0.683,9,12,0.75,31,16,49,65,131,2484360,4.852,0.333
Dusty Hannahs,25,SG,MEM,2,26,3,12,0.25,0,5,0,3,7,0.429,2,2,1,5,0,1,1,8,47370,4,1
Dwayne Bacon,23,SG,CHO,43,759,122,257,0.475,38,87,0.437,84,170,0.494,34,46,0.739,47,8,81,89,316,1378242,7.349,0.791
Dwyane Wade,37,SG,MIA,72,1885,416,960,0.433,86,261,0.33,330,699,0.472,165,233,0.708,301,69,216,285,1083,2393887,15.042,2.292
Dzanan Musa,19,SG,BRK,9,39,9,22,0.409,1,10,0.1,8,12,0.667,0,2,0,2,1,4,5,19,1634400,2.111,0
E'Twaun Moore,29,SG,NOP,53,1463,256,532,0.481,76,176,0.432,180,356,0.506,45,59,0.763,102,35,92,127,633,8808685,11.943,0.849
Eric Gordon,30,SG,HOU,68,2158,384,938,0.409,216,600,0.36,168,338,0.497,119,152,0.783,129,17,131,148,1103,13500375,16.221,1.75
Evan Fournier,26,SG,ORL,81,2553,468,1069,0.438,153,450,0.34,315,619,0.509,137,170,0.806,295,38,220,258,1226,17000000,15.136,1.691
Furkan Korkmaz,21,SG,PHI,48,679,98,245,0.4,47,144,0.326,51,101,0.505,36,44,0.818,52,16,91,107,279,1740000,5.812,0.75
Gary Harris,24,SG,DEN,57,1639,270,637,0.424,82,242,0.339,188,395,0.476,115,144,0.799,127,41,119,160,737,16517857,12.93,2.018
Gary Trent,20,SG,POR,15,111,16,50,0.32,5,21,0.238,11,29,0.379,3,7,0.429,5,1,10,11,40,838464,2.667,0.2
Gerald Green,33,SG,HOU,73,1473,231,578,0.4,156,441,0.354,75,137,0.547,57,68,0.838,40,30,152,182,675,1512601,9.247,0.781
Grayson Allen,23,SG,UTA,38,416,67,178,0.376,32,99,0.323,35,79,0.443,45,60,0.75,25,3,20,23,211,2076960,5.553,1.184
Hamidou Diallo,20,SG,OKC,51,526,75,165,0.455,4,24,0.167,71,141,0.504,36,59,0.61,17,38,59,97,190,838464,3.725,0.706
Ian Clark,27,SG,NOP,60,973,151,383,0.394,66,202,0.327,85,181,0.47,33,37,0.892,94,13,76,89,401,1757429,6.683,0.55
Isaiah Thomas,29,SG,DEN,12,181,34,99,0.343,12,43,0.279,22,56,0.393,17,27,0.63,23,5,8,13,97,2029463,8.083,1.417
Jacob Evans,21,SG,GSW,30,204,18,53,0.34,4,15,0.267,14,38,0.368,0,1,0,23,6,19,25,40,1646400,1.333,0
Jamal Crawford,38,SG,PHO,64,1211,174,438,0.397,67,202,0.332,107,236,0.453,93,110,0.845,229,8,77,85,508,4698113,7.938,1.453
Jared Terrell,23,SG,MIN,14,111,12,39,0.308,4,17,0.235,8,22,0.364,3,6,0.5,12,1,5,6,31,77250,2.214,0.214
Jaylen Brown,22,SG,BOS,74,1913,368,792,0.465,95,276,0.344,273,516,0.529,133,202,0.658,100,65,248,313,964,5169960,13.027,1.797
Jaylen Morris,23,SG,MIL,4,29,4,10,0.4,1,3,0.333,3,7,0.429,1,2,0.5,4,0,5,5,10,77250,2.5,0.25
Jeremy Lamb,26,SG,CHO,79,2250,431,979,0.44,115,330,0.348,316,649,0.487,231,260,0.888,172,65,369,434,1208,7000000,15.291,2.924
Jerome Robinson,21,SG,LAC,33,320,44,110,0.4,18,57,0.316,26,53,0.491,6,9,0.667,19,3,38,41,112,3050160,3.394,0.182
Jimmer Fredette,29,SG,PHO,6,65,8,29,0.276,0,13,0,8,16,0.5,6,6,1,8,1,6,7,22,198579,3.667,1
JJ Redick,34,SG,PHI,76,2379,452,1027,0.44,240,605,0.397,212,422,0.502,228,255,0.894,206,20,166,186,1372,12250000,18.053,3
Jodie Meeks,31,SG,TOR,8,104,21,39,0.538,8,18,0.444,13,21,0.619,1,1,1,8,1,11,12,51,3774176,6.375,0.125
Joe Harris,27,SG,BRK,76,2293,374,748,0.5,183,386,0.474,191,362,0.528,110,133,0.827,181,52,239,291,1041,8333333,13.697,1.447
Jonathon Simmons,29,"SF, SG","PHI, ORL",56,1064,133,350,0.38,28,104,0.269,105,246,0.427,72,97,0.742,128,27,99,126,366,6000000,6.536,1.286
Jordan Clarkson,26,SG,CLE,81,2214,529,1180,0.448,144,445,0.324,385,735,0.524,162,192,0.844,196,82,188,270,1364,12500000,16.84,2
Jordan McRae,27,SG,WAS,27,333,61,130,0.469,10,35,0.286,51,95,0.537,28,35,0.8,30,6,34,40,160,77250,5.926,1.037
Josh Hart,23,SG,LAL,67,1715,189,464,0.407,92,274,0.336,97,190,0.511,55,80,0.688,93,35,213,248,525,1655160,7.836,0.821
Josh Jackson,21,SG,PHO,79,1988,347,841,0.413,73,225,0.324,274,616,0.445,143,213,0.671,183,66,281,347,910,6041520,11.519,1.81
Josh Okogie,20,SG,MIN,74,1757,196,508,0.386,60,215,0.279,136,293,0.464,118,162,0.728,91,41,177,218,570,2163600,7.703,1.595
Josh Richardson,25,SG,MIA,73,2539,423,1026,0.412,164,460,0.357,259,566,0.458,199,231,0.861,298,54,209,263,1209,9367200,16.562,2.726
JR Smith,33,SG,CLE,11,222,27,79,0.342,12,39,0.308,15,40,0.375,8,10,0.8,21,0,18,18,74,14720000,6.727,0.727
Jrue Holiday,28,SG,NOP,67,2402,547,1159,0.472,118,363,0.325,429,796,0.539,208,271,0.768,518,75,259,334,1420,26641111,21.194,3.104
Kadeem Allen,26,SG,NYK,19,416,65,141,0.461,17,36,0.472,48,105,0.457,42,54,0.778,76,8,43,51,189,77250,9.947,2.211
Kent Bazemore,29,SG,ATL,67,1643,278,691,0.402,96,300,0.32,182,391,0.465,127,175,0.726,152,37,224,261,779,18089888,11.627,1.896
Kentavious Caldwell-Pope,25,SG,LAL,82,2035,325,756,0.43,151,435,0.347,174,321,0.542,137,158,0.867,110,48,190,238,938,12000000,11.439,1.671
Kevin Huerter,20,SG,ATL,75,2048,275,657,0.419,136,353,0.385,139,304,0.457,41,56,0.732,214,60,185,245,727,2250960,9.693,0.547
Khyri Thomas,22,SG,DET,26,195,22,69,0.319,10,35,0.286,12,34,0.353,7,11,0.636,8,4,16,20,61,838464,2.346,0.269
Klay Thompson,28,SG,GSW,78,2652,655,1402,0.467,241,599,0.402,414,803,0.516,129,158,0.816,186,37,262,299,1680,18988725,21.538,1.654
Lance Stephenson,28,SG,LAL,68,1123,184,432,0.426,73,197,0.371,111,235,0.472,50,73,0.685,140,32,183,215,491,4449000,7.221,0.735
Langston Galloway,27,SG,DET,80,1745,228,587,0.388,135,380,0.355,93,207,0.449,81,96,0.844,85,49,122,171,672,7000000,8.4,1.012
Lonnie Walker,20,SG,SAS,17,118,16,46,0.348,5,13,0.385,11,33,0.333,8,10,0.8,9,0,17,17,45,2360160,2.647,0.471
Luka Doncic,19,SG,DAL,72,2318,506,1186,0.427,168,514,0.327,338,672,0.503,346,485,0.713,429,86,477,563,1526,6569040,21.194,4.806
Luke Kennard,22,SG,DET,63,1437,228,520,0.438,106,269,0.394,122,251,0.486,51,61,0.836,114,12,171,183,613,3275280,9.73,0.81
Malachi Richardson,23,SG,TOR,22,103,9,29,0.31,8,25,0.32,1,4,0.25,4,5,0.8,0,2,11,13,30,1569360,1.364,0.182
Malcolm Brogdon,26,SG,MIL,64,1832,378,748,0.505,104,244,0.426,274,504,0.544,141,152,0.928,205,65,223,288,1001,1544951,15.641,2.203
Malik Beasley,22,SG,DEN,81,1879,349,737,0.474,163,405,0.402,186,332,0.56,56,66,0.848,97,35,165,200,917,1773840,11.321,0.691
Malik Monk,20,SG,CHO,73,1258,227,586,0.387,109,330,0.33,118,256,0.461,90,102,0.882,117,16,121,137,653,3447480,8.945,1.233
Marco Belinelli,32,SG,SAS,79,1815,285,690,0.413,147,395,0.372,138,295,0.468,112,124,0.903,132,16,182,198,829,6153846,10.494,1.418
Marcus Smart,24,SG,BOS,80,2200,239,567,0.422,126,346,0.364,113,221,0.511,104,129,0.806,321,57,177,234,708,11160716,8.85,1.3
Markelle Fultz,20,SG,PHI,19,427,65,155,0.419,4,14,0.286,61,141,0.433,21,37,0.568,59,26,44,70,155,8339880,8.158,1.105
MarShon Brooks,30,SG,MEM,29,387,76,169,0.45,15,54,0.278,61,115,0.53,23,33,0.697,25,12,33,45,190,1656092,6.552,0.793
Melvin Frazier,22,SG,ORL,10,44,7,21,0.333,0,6,0,7,15,0.467,1,4,0.25,1,3,2,5,15,1050000,1.5,0.1
Norman Powell,25,SG,TOR,60,1126,193,400,0.482,68,170,0.4,125,230,0.543,62,75,0.827,91,16,123,139,516,9367200,8.6,1.033
Pat Connaughton,26,SG,MIL,61,1261,163,350,0.466,66,200,0.33,97,150,0.647,29,40,0.725,122,61,197,258,421,1641000,6.902,0.475
PJ Dozier,22,SG,BOS,6,51,8,21,0.381,2,8,0.25,6,13,0.462,1,2,0.5,5,6,11,17,19,77250,3.167,0.167
Rawle Alkins,21,SG,CHI,10,120,13,39,0.333,3,12,0.25,10,27,0.37,8,12,0.667,13,11,15,26,37,77250,3.7,0.8
RJ Hunter,25,SG,BOS,1,26,6,13,0.462,4,10,0.4,2,3,0.667,1,2,0.5,3,1,2,3,17,77250,17,1
Rodney McGruder,27,SG,MIA,66,1550,186,461,0.403,79,225,0.351,107,236,0.453,52,72,0.722,112,60,178,238,503,1544951,7.621,0.788
Ryan Broekhoff,28,SG,DAL,42,453,57,126,0.452,38,93,0.409,19,33,0.576,15,19,0.789,22,8,55,63,167,838464,3.976,0.357
Seth Curry,28,SG,POR,74,1399,212,465,0.456,113,251,0.45,99,214,0.463,44,52,0.846,66,27,93,120,581,2795000,7.851,0.595
Shake Milton,22,SG,PHI,20,268,34,87,0.391,14,44,0.318,20,43,0.465,5,7,0.714,18,9,26,35,87,77250,4.35,0.25
Sindarius Thornwell,24,SG,LAC,64,313,17,49,0.347,3,15,0.2,14,34,0.412,25,34,0.735,18,5,39,44,62,1378242,0.969,0.391
Sterling Brown,23,SG,MIL,58,1034,145,312,0.465,53,147,0.361,92,165,0.558,29,42,0.69,84,29,155,184,372,1378242,6.414,0.5
Terrance Ferguson,20,SG,OKC,74,1931,185,431,0.429,106,290,0.366,79,141,0.56,37,51,0.725,72,33,108,141,513,2118840,6.932,0.5
Terrence Ross,27,SG,ORL,81,2150,440,1027,0.428,217,566,0.383,223,461,0.484,126,144,0.875,135,27,253,280,1223,10500000,15.099,1.556
Theo Pinson,23,SG,BRK,18,211,25,73,0.342,12,46,0.261,13,27,0.481,19,22,0.864,21,4,32,36,81,77250,4.5,1.056
Treveon Graham,25,SG,BRK,35,715,64,191,0.335,38,128,0.297,26,63,0.413,18,22,0.818,34,23,84,107,184,1512601,5.257,0.514
Troy Daniels,27,SG,PHO,51,760,113,275,0.411,74,194,0.381,39,81,0.481,18,23,0.783,26,13,60,73,318,3258539,6.235,0.353
Tyreke Evans,29,SG,IND,69,1402,257,660,0.389,77,216,0.356,180,444,0.405,115,160,0.719,166,33,168,201,706,12400000,10.232,1.667
Victor Oladipo,26,SG,IND,36,1147,249,588,0.423,74,216,0.343,175,372,0.47,103,141,0.73,186,21,181,202,675,21000000,18.75,2.861
Will Barton,28,SG,DEN,43,1189,185,460,0.402,67,196,0.342,118,264,0.447,57,74,0.77,124,32,167,199,494,11830358,11.488,1.326
Zach LaVine,23,SG,CHI,63,2171,530,1135,0.467,120,321,0.374,410,814,0.504,312,375,0.832,283,40,254,294,1492,19500000,23.683,4.952
Zhaire Smith,19,SG,PHI,6,111,14,34,0.412,6,16,0.375,8,18,0.444,6,8,0.75,10,3,10,13,40,2615160,6.667,1
